When,Home Team,Away Team,Venue,Competition
05/09/2026,Yatton Junior FC U10 Athletic,Swiss Valley Rangers Youth U10 Boys,Yatton Athletic Junior Youth,Under 10 Axe
05/09/2026,Yatton Junior FC U10 Rangers,Cheddar Valley Junior Youth U10 Dynamos,Yatton Athletic Junior Youth,Under 10 Yeo
12/09/2026,Portishead Town (Youth) U10 Galaxy,Yatton Junior FC U10 Athletic,Portishead Town (Youth) U7 Galaxy,Under 10 Axe
12/09/2026,Hutton Juniors Youth U10 Panthers/Leopards,Yatton Junior FC U10 Rangers,Hutton Juniors Youth,Under 10 Yeo
19/09/2026,Yatton Junior FC U10 Athletic,Winscombe Junior Youth U10 Lions/Tigers,Yatton Athletic Junior Youth,Under 10 Axe
19/09/2026,Yatton Junior FC U10 Rangers,Wrington Redhill Youth U10,Yatton Athletic Junior Youth,Under 10 Yeo
26/09/2026,Banwell Juniors Youth U10 Colts,Yatton Junior FC U10 Athletic,Banwell Juniors Youth U9 Colts,Under 10 Axe
26/09/2026,Nailsea United Junior Youth U10 Nighthawks,Yatton Junior FC U10 Rangers,Nailsea United Junior Youth,Under 10 Yeo
03/10/2026,Berrow Youth U10 Bears/Tigers,Yatton Junior FC U10 Athletic,Berrow Youth U7 Bears/Tigers,Under 10 Axe
03/10/2026,Yatton Junior FC U10 Rangers,Banwell Juniors Youth U10 United,Yatton Athletic Junior Youth,Under 10 Yeo
10/10/2026,Yatton Junior FC U10 Athletic,Clevedon United Junior Youth U10 Eagles,Yatton Athletic Junior Youth,Under 10 Axe
10/10/2026,Sporting Weston Youth U10,Yatton Junior FC U10 Rangers,Sporting Weston Youth,Under 10 Yeo
17/10/2026,Nailsea United Junior Youth U10 Jaguars,Yatton Junior FC U10 Athletic,Nailsea United Junior Youth U7,Under 10 Axe
17/10/2026,Yatton Junior FC U10 Rangers,Milton Nomads Junior Youth U10 BLUE/RED,Yatton Athletic Junior Youth,Under 10 Yeo
07/11/2026,Yatton Junior FC U10 Athletic,Hutton Juniors Youth U10 Lions/Tigers,Yatton Athletic Junior Youth,Under 10 Axe
07/11/2026,Long Ashton Junior Youth U10,Yatton Junior FC U10 Rangers,Long Ashton Junior Youth,Under 10 Yeo
14/11/2026,Portishead Town (Youth) U10 Comets,Yatton Junior FC U10 Athletic,Portishead Town (Youth) U7 Comets,Under 10 Axe
14/11/2026,Yatton Junior FC U10 Rangers,St George Easton In Gordano (Youth) U10,Yatton Athletic Junior Youth,Under 10 Yeo
21/11/2026,Yatton Junior FC U10 Athletic,Burnham United Juniors Youth U10,Yatton Athletic Junior Youth,Under 10 Axe
21/11/2026,Portishead Town (Youth) U10 Rockets,Yatton Junior FC U10 Rangers,Portishead Town (Youth),Under 10 Yeo
28/11/2026,South West Mini's FC U10 SWM United,Yatton Junior FC U10 Athletic,South West Mini's FC,Under 10 Axe
28/11/2026,Clevedon United Junior Youth U10 Hawks,Yatton Junior FC U10 Rangers,Clevedon United Junior Youth,Under 10 Yeo
05/12/2026,Yatton Junior FC U10 Athletic,Backwell Athletic Junior Youth U10 Tigers,Yatton Athletic Junior Youth,Under 10 Axe
05/12/2026,Cheddar Valley Junior Youth U10 Dynamos,Yatton Junior FC U10 Rangers,Cheddar Valley Junior Youth,Under 10 Yeo
12/12/2026,Worle U10 Worle FC U9s,Yatton Junior FC U10 Athletic,Worle U9 Worle FC U9s,Under 10 Axe
12/12/2026,Yatton Junior FC U10 Rangers,Hutton Juniors Youth U10 Panthers/Leopards,Yatton Athletic Junior Youth,Under 10 Yeo
09/01/2027,Swiss Valley Rangers Youth U10 Boys,Yatton Junior FC U10 Athletic,Swiss Valley Rangers Youth U8 Boys,Under 10 Axe
09/01/2027,Wrington Redhill Youth U10,Yatton Junior FC U10 Rangers,Wrington Redhill Youth,Under 10 Yeo
16/01/2027,Yatton Junior FC U10 Athletic,Portishead Town (Youth) U10 Galaxy,Yatton Athletic Junior Youth,Under 10 Axe
16/01/2027,Yatton Junior FC U10 Rangers,Nailsea United Junior Youth U10 Nighthawks,Yatton Athletic Junior Youth,Under 10 Yeo
23/01/2027,Winscombe Junior Youth U10 Lions/Tigers,Yatton Junior FC U10 Athletic,Winscombe Junior Youth U7,Under 10 Axe
23/01/2027,Banwell Juniors Youth U10 United,Yatton Junior FC U10 Rangers,Banwell Juniors Youth,Under 10 Yeo
30/01/2027,Yatton Junior FC U10 Athletic,Banwell Juniors Youth U10 Colts,Yatton Athletic Junior Youth,Under 10 Axe
30/01/2027,Yatton Junior FC U10 Rangers,Sporting Weston Youth U10,Yatton Athletic Junior Youth,Under 10 Yeo
06/02/2027,Yatton Junior FC U10 Athletic,Berrow Youth U10 Bears/Tigers,Yatton Athletic Junior Youth,Under 10 Axe
06/02/2027,Milton Nomads Junior Youth U10 BLUE/RED,Yatton Junior FC U10 Rangers,Milton Nomads Junior Youth,Under 10 Yeo
27/02/2027,Clevedon United Junior Youth U10 Eagles,Yatton Junior FC U10 Athletic,Clevedon United Junior Youth U7 Eagles,Under 10 Axe
27/02/2027,Yatton Junior FC U10 Rangers,Long Ashton Junior Youth U10,Yatton Athletic Junior Youth,Under 10 Yeo
06/03/2027,Yatton Junior FC U10 Athletic,Nailsea United Junior Youth U10 Jaguars,Yatton Athletic Junior Youth,Under 10 Axe
06/03/2027,St George Easton In Gordano (Youth) U10,Yatton Junior FC U10 Rangers,St George Easton In Gordano (Youth),Under 10 Yeo
13/03/2027,Hutton Juniors Youth U10 Lions/Tigers,Yatton Junior FC U10 Athletic,Hutton Juniors Youth U7 Lions,Under 10 Axe
13/03/2027,Yatton Junior FC U10 Rangers,Portishead Town (Youth) U10 Rockets,Yatton Athletic Junior Youth,Under 10 Yeo
20/03/2027,Yatton Junior FC U10 Athletic,Portishead Town (Youth) U10 Comets,Yatton Athletic Junior Youth,Under 10 Axe
20/03/2027,Yatton Junior FC U10 Rangers,Clevedon United Junior Youth U10 Hawks,Yatton Athletic Junior Youth,Under 10 Yeo
27/03/2027,Burnham United Juniors Youth U10,Yatton Junior FC U10 Athletic,Burnham United Juniors Youth U7,Under 10 Axe
24/04/2027,Yatton Junior FC U10 Athletic,South West Mini's FC U10 SWM United,Yatton Athletic Junior Youth,Under 10 Axe
01/05/2027,Backwell Athletic Junior Youth U10 Tigers,Yatton Junior FC U10 Athletic,Backwell Athletic Junior Youth U8,Under 10 Axe
08/05/2027,Yatton Junior FC U10 Athletic,Worle U10 Worle FC U9s,Yatton Athletic Junior Youth,Under 10 Axe
